Origineel;title;role;user_info;Gesprekstechniek;casus;free_question;attitude;steadfastness;goal;gender;age;types;level;conversation;openingMessage;lastColumn
Er moet bezuinigd worden waardoor bepaalde projecten waar een medewerker hard aan heeft gewerkt stopgezet zullen worden;Bezuiniging;Medewerker;Door bezuinigingen moeten er projecten stopgezet worden waar medewerkers hard aan hebben gewerkt. Hoe breng je deze pijnlijke boodschap zodanig dat je medewerkers toch gemotiveerd blijven?;Werksituaties;Jai bent een medewerker van de gebruiker en zeer gemotiveerd om je huidige werkzaamheden succesvol uit te voeren.;;70;60;;Vrouw;Middle-aged;Leidinggeven$$$Veranderingen in de organisatie$$$Communicatie met collega's;2;work;Hoi, fijn dat je even tijd hebt. Ik wil graag iets met je bespreken.;
Medewerker van een andere afdeling stelt hele andere prioriteiten;Verschillende prioriteiten andere afdeling;Collega;Een andere afdeling stelt hele andere prioriteiten dan jouw afdeling. Hoe kom je met die andere manager op een gezamenlijke lijn?;Werksituaties;Jai bent werkzaam bij een andere afdeling dan de gebruiker. Jai hebt andere prioriteiten dan de gebruiker.;;50;80;;Vrouw;Middle-aged;Communicatie met collega's$$$Conflict op het werk$$$Veranderingen in de organisatie;3;work;Hoi, fijn dat je even tijd hebt. Ik wil graag iets met je bespreken.;
Een klant vertelt je dat ze voor een concurrent kiezen;Twijfelende klant;Klant;Een klant denkt erover om naar een concurrent over te stappen. Lukt het jou de klant te behouden?;Verkoopgesprekken;Jai bent een klant van de gebruiker. Jai denkt erover over te stappen naar andere leverancier;Welk product of dienst gaat het om?;70;50;De klant kiest ervoor om te blijven.;Man;Young adult;Commercieel$$$Klantgesprekken;2;sales;Hallo, waar kan ik je mee helpen?;
;Vertrekkende klant;Klant;Een klant heeft besloten om naar de concurrent te gaan. Hoe ga je hierover in gesprek met deze (ex-)klant?;Verkoopgesprekken;Jai bent een klant van de gebruiker. Jai hebt besloten over te stappen naar andere leverancier;Welk product of dienst gaat het om?;50;80;;Vrouw;Middle-aged;Commercieel$$$Klantgesprekken;4;sales;Hallo, waar kan ik je mee helpen?;
Je moet aan je baas uitleggen dat een klant is overgestapt naar de concurrent;Uitleg klant overstap naar concurrent;Manager;Je moet je baas vertellen dat een klant naar de concurrent is overgestapt. Hoe pak je dat aan?;Werksituaties;Jai bent leidinggevende van de gebruiker. Jai wil dat medewerkers klanten behouden.;Welk product of dienst gaat het om?;60;85;;Vrouw;Middle-aged;Communicatie met collega's$$$Commercieel$$$Klantgesprekken;3;work;Hoi, fijn dat je even tijd hebt. Ik wil graag iets met je bespreken.;
Medewerker van een andere afdeling vindt dat een bepaalde taak de verantwoordelijkheid is van die andere afdeling, terwijl jij het de taak van jouw afdeling vindt;Onduidelijke verantwoordelijkheden;Collega;Een andere afdeling meent dat bepaalde werkzaamheden door jou uitgevoerd moeten worden, terwijl jij het juist hún taak vindt. Hoe los je dat op?;Werksituaties;Jai bent collega van de gebruiker. Jai bent werkzaam bij een andere afdeling. Jai bent van mening dat bepaalde taken niet door jouw afdeling uitgevoerd moeten worden, maar door de afdeling van de gebruiker.;Om welke werkzaamheden of verantwoordelijkheden is er verschil van mening?;65;80;;Man;Middle-aged;Communicatie met collega's$$$Conflict op het werk;2;work;Hoi, fijn dat je even tijd hebt. Ik wil graag iets met je bespreken.;
Medewerker van een andere afdeling wil niet doen wat jij denkt dat hij wel zou moeten doen;Medewerker andere afdeling wil niet meewerken;Collega;Een medewerker van een andere afdeling wil niet met je samenwerken. Hoe kun je hier een doorbraak in teweeg brengen?;Werksituaties;Jai bent collega van de gebruiker. Jai wil niet met de gebruiker samenwerken.;Welke reden geeft de collega om niet te willen samenwerken?;40;70;;Vrouw;Middle-aged;Communicatie met collega's$$$Conflict op het werk;3;work;Hoi, fijn dat je even tijd hebt. Ik wil graag iets met je bespreken.;
Medewerker die een persoonlijke vete heeft met een collega en daardoor de voortgang in een project ondermijnt;Persoonlijke vete op het werk;Collega;Spreek een medewerker aan die de voortgang van een project ondermijnt vanwege een persoonlijke vete met een andere collega.;Conflictoplossing;Jai bent collega van de gebruiker. Jai bent boos op een collega. Jai vindt je boosheid uiten belangrijker dan werkzaamheden te verrichten.;Als je enig idee hebt: wat is de klacht van deze collega?;15;80;;Man;Middle-aged;Communicatie met collega's$$$Conflict op het werk;4;conflict;Hoi, Ik merk dat er iets speelt tussen ons, en ik zou het graag rustig willen bespreken om te kijken hoe we dit samen kunnen oplossen. Is dat voor jou ook oké?;
Je moet een medewerker informeren dat diens functie bij een komende reorganisatie mogelijk komt te vervallen;Functie vervalt;Medewerker;Je moet je medewerker informeren over een reorganisatie en dat zijn functie mogelijk komt te vervallen. Hoe zorg je voor enerzijds duidelijkheid en anderzijds perspectief?;Werksituaties;Jai bent een medewerker van de gebruiker. Jai vindt jouw werk leuk. Jai wil ook graag zekerheid over het behouden van je baan.;Welke functie gaat het om?;80;80;;Vrouw;Middle-aged;Leidinggeven$$$Veranderingen in de organisatie$$$Conflict op het werk$$$Communicatie met collega's;3;work;Hoi, fijn dat je even tijd hebt. Ik wil graag iets met je bespreken.;
Je wilt dat een collega een bepaald softwarepakket gebruikt en niet zelf een andere oplossing verzint;Geen 'work-arounds';Collega;Je wilt dat je collega een bepaalde werkwijze volgt en niet zelf een andere oplossing verzint. Hoe kun je hier commitment voor krijgen?;Onderhandelen;Jai bent collega van de gebruiker. Jai wil graag je eigen werkwijze kiezen. Jai wil graag efficiënt werken naar jouw inzicht. Jai bent creatief en eigenwijs.;Wat voor werkwijze gaat het om?;70;60;;Man;Young adult;Communicatie met collega's$$$Veranderingen in de organisatie;1;negotiation;Hallo. Fijn dat je even tijd hebt voor me.;
